Title,Date,Category,Link,Agency
"Transitional Care Agreed to Pay $10,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services with False Dates and Locations","October 11, 2024",Criminal and Civil Actions,/fraud/enforcement/transitional-care-agreed-to-pay-10000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-with-false-dates-and-locations/,Not Available
Silver Spring Woman Sentenced for Defrauding Maryland Medicaid of over $1 Million,"October 11, 2024",Criminal and Civil Actions,/fraud/enforcement/silver-spring-woman-sentenced-for-defrauding-maryland-medicaid-of-over-1-million/,State of Maryland
"Ebenezer Quainoo, MD and Baltimore Healthcare Agreed to Pay $255,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-FDA Approved Drugs","October 10, 2024",Criminal and Civil Actions,/fraud/enforcement/ebenezer-quainoo-md-and-baltimore-healthcare-agreed-to-pay-255000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-fda-approved-drugs/,Not Available
"Housing Works Agreed to Pay $135,000 for Allegedly Violating the Civil Monetary Penalties Law by Providing Documents To HHS-OIG Auditors That One Of Its Employees Had Fabricated","October 10, 2024",Criminal and Civil Actions,/fraud/enforcement/housing-works-agreed-to-pay-135000-for-allegedly-violating-the-civil-monetary-penalties-law-by-providing-documents-to-hhs-oig-auditors-that-one-of-its-employees-had-fabricated/,Not Available
Magellan Diagnostics Sentenced For Concealing Malfunction In Lead Testing Devices,"October 10, 2024",Criminal and Civil Actions,/fraud/enforcement/magellan-diagnostics-sentenced-for-concealing-malfunction-in-lead-testing-devices/,"U.S. Attorney's Office, District of Massachusetts"
Teva Pharmaceuticals Agrees To Pay $425 Million To Resolve Kickback Allegations,"October 10, 2024",Criminal and Civil Actions,/fraud/enforcement/teva-pharmaceuticals-agrees-to-pay-425-million-to-resolve-kickback-allegations/,"U.S. Attorney's Office, District of Massachusetts"
Generic Pharmaceutical Company Pays $25 Million To Resolve False Claims Act Liability For Price-Fixing Of Generic Drugs,"October 10, 2024",Criminal and Civil Actions,/fraud/enforcement/generic-pharmaceutical-company-pays-25-million-to-resolve-false-claims-act-liability-for-price-fixing-of-generic-drugs/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Drug Maker Teva Pharmaceuticals Agrees To Pay $450M In False Claims Act Settlement To Resolve Kickback Allegations Relating To Copayments And Price Fixing,"October 10, 2024",Criminal and Civil Actions,/fraud/enforcement/drug-maker-teva-pharmaceuticals-agrees-to-pay-450m-in-false-claims-act-settlement-to-resolve-kickback-allegations-relating-to-copayments-and-price-fixing/,U.S. Department of Justice
"In Latest Welfare Fraud Win, Attorney General Todd Rokita Secures Six-Figure Settlement & Criminal Conviction Against Highland Home Health Provider","October 10, 2024",Criminal and Civil Actions,/fraud/enforcement/in-latest-welfare-fraud-win-attorney-general-todd-rokita-secures-six-figure-settlement-criminal-conviction-against-highland-home-health-provider/,State of Indiana
TennCare Fraud Investigation Leads To Arrests Of Two Memphis Woman,"October 10, 2024",Criminal and Civil Actions,/fraud/enforcement/tenncare-fraud-investigation-leads-to-arrests-of-two-memphis-woman/,State of Tennessee
"Ultra Radio Dispatch Service Agreed to Pay $61,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Improper Remuneration","October 9, 2024",Criminal and Civil Actions,/fraud/enforcement/ultra-radio-dispatch-service-agreed-to-pay-61000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-improper-remuneration/,Not Available
Two Los Angeles-Area Residents Arrested On Indictment Alleging Scheme To Fraudulently Obtain And Launder Medicare Proceeds,"October 9, 2024",Criminal and Civil Actions,/fraud/enforcement/two-los-angeles-area-residents-arrested-on-indictment-alleging-scheme-to-fraudulently-obtain-and-launder-medicare-proceeds/,"U.S. Attorney's Office, Central District of California"
Disabilities Day Program Employee Sentenced To 230 Days In Jail For Exploiting Vulnerable Adults And Shoplifting,"October 9, 2024",Criminal and Civil Actions,/fraud/enforcement/disabilities-day-program-employee-sentenced-to-230-days-in-jail-for-exploiting-vulnerable-adults-and-shoplifting/,"U.S. Attorney's Office, District of Columbia"
Eight Charged In $68M Social Adult Day Care And Home Health Care Scheme,"October 9, 2024",Criminal and Civil Actions,/fraud/enforcement/eight-charged-in-68m-social-adult-day-care-and-home-health-care-scheme/,U.S. Department of Justice
"North Carolina Physician And Medical Practice Agree To Pay $625,000 To Settle Kickback Allegations","October 9, 2024",Criminal and Civil Actions,/fraud/enforcement/north-carolina-physician-and-medical-practice-agree-to-pay-625000-to-settle-kickback-allegations/,U.S. Department of Justice
Lee Memorial Health System Agreed to Pay $1.7 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Medically Unnecessary Procedures,"October 9, 2024",Criminal and Civil Actions,/fraud/enforcement/lee-memorial-health-system-agreed-to-pay-17-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-medically-unnecessary-procedures/,Not Available
"Attorney General Josh Stein Announces $625,000 Health Care Fraud Settlement","October 9, 2024",Criminal and Civil Actions,/fraud/enforcement/attorney-general-josh-stein-announces-625000-health-care-fraud-settlement/,State of North Carolina
Attorney General Jackley Announces Wyoming Woman Sentenced On Grand Theft By Exploitation Charge,"October 9, 2024",Criminal and Civil Actions,/fraud/enforcement/attorney-general-jackley-announces-wyoming-woman-sentenced-on-grand-theft-by-exploitation-charge/,State of South Dakota
"BrightStar Care of Chattanooga Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","October 8, 2024",Criminal and Civil Actions,/fraud/enforcement/brightstar-care-of-chattanooga-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,Not Available
"Touchstone Strategies-Bulverde and The Heights of Bulverde Agreed to Pay $436,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","October 8, 2024",Criminal and Civil Actions,/fraud/enforcement/touchstone-strategies-bulverde-and-the-heights-of-bulverde-agreed-to-pay-436000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,Not Available
North Carolina Physician Assistant Sentenced To Six Years In Prison For Role In $10 Million Telemedicine Fraud Scheme,"October 4, 2024",Criminal and Civil Actions,/fraud/enforcement/north-carolina-physician-assistant-sentenced-to-six-years-in-prison-for-role-in-10-million-telemedicine-fraud-scheme/,"U.S. Attorney’s Office, Western District of North Carolina"
Operator Of South Carolina Medicaid Call Center Agrees To Pay $11.3 Million To Resolve False Claims Act Liability; Two Former Employees Plead Guilty To Wire Fraud,"October 3, 2024",Criminal and Civil Actions,/fraud/enforcement/operator-of-south-carolina-medicaid-call-center-agrees-to-pay-113-million-to-resolve-false-claims-act-liability-two-former-employees-plead-guilty-to-wire-fraud/,"U.S. Attorney's Office, District of South Carolina"
Merrillville Doctor Sentenced To Prison And Ordered To Pay Restitution,"October 3, 2024",Criminal and Civil Actions,/fraud/enforcement/merrillville-doctor-sentenced-to-prison-and-ordered-to-pay-restitution/,"U.S. Attorney's Office, Northern District of Indiana"
"Ten Pharmaceutical Distributor Executives, Sales Representatives, And Brokers Charged In Connection With Unlawful Sales Of Nearly 70M Opioid Pills","October 3, 2024",Criminal and Civil Actions,/fraud/enforcement/ten-pharmaceutical-distributor-executives-sales-representatives-and-brokers-charged-in-connection-with-unlawful-sales-of-nearly-70m-opioid-pills/,U.S. Department of Justice
Wichita Brothers Plead Guilty To Defrauding The Government,"October 2, 2024",Criminal and Civil Actions,/fraud/enforcement/wichita-brothers-plead-guilty-to-defrauding-the-government/,"U.S. Attorney's Office, District of Kansas"
Martin Handler Sentenced To 58 Months For Fraud On Federal Head Start Program And Tax Evasion,"October 2, 2024",Criminal and Civil Actions,/fraud/enforcement/martin-handler-sentenced-to-58-months-for-fraud-on-federal-head-start-program-and-tax-evasion/,"U.S. Attorney's Office, Southern District of New York"
Precision Toxicology Agrees to Pay $27M to Resolve Allegations of Unnecessary Drug Testing and Illegal Remuneration to Physicians,"October 2, 2024",Criminal and Civil Actions,/fraud/enforcement/precision-toxicology-agrees-to-pay-27m-to-resolve-allegations-of-unnecessary-drug-testing-and-illegal-remuneration-to-physicians/,"U.S. Department of Justice and U.S. Attorney's Office, District of Maryland"
Texas Hospital CEO to Pay Over $5.3M to Settle Kickback Allegations Involving Laboratory Testing,"October 2, 2024",Criminal and Civil Actions,/fraud/enforcement/texas-hospital-ceo-to-pay-over-53m-to-settle-kickback-allegations-involving-laboratory-testing/,U.S. Department of Justice
